match_id,league,date,home_team,away_team,cached_summary,summary_valid,commentary_count,key_events_count,windows_generated,transitions_generated,excluded_reason
760484,fifa.world,,Algeria,Austria,True,True,74,36,19,19,
760414,fifa.world,,South Korea,Czechia,True,True,109,29,16,16,
760450,fifa.world,,Uruguay,Cape Verde,True,True,108,42,20,20,
760477,fifa.world,,New Zealand,Belgium,True,True,116,36,20,20,
760471,fifa.world,,Japan,Sweden,True,True,124,35,17,17,
760496,fifa.world,,Portugal,Croatia,True,True,112,35,18,18,
760504,fifa.world,,Brazil,Norway,True,True,82,27,16,16,
760495,fifa.world,,England,Congo DR,True,True,104,30,17,17,
760427,fifa.world,,Iran,New Zealand,True,True,105,42,17,17,
760448,fifa.world,,Germany,Ivory Coast,True,True,90,41,15,15,
760488,fifa.world,,Netherlands,Morocco,True,True,144,44,20,20,
760506,fifa.world,,Portugal,Spain,True,True,108,33,16,16,
760454,fifa.world,,Norway,Senegal,True,True,103,35,17,17,
760492,fifa.world,,France,Sweden,True,True,115,25,15,15,
760424,fifa.world,,Sweden,Tunisia,True,True,96,39,19,19,
760445,fifa.world,,Scotland,Morocco,True,True,91,36,15,15,
760462,fifa.world,,Bosnia-Herzegovina,Qatar,True,True,116,46,17,17,
760491,fifa.world,,Mexico,Ecuador,True,True,111,35,18,18,
760438,fifa.world,,Czechia,South Africa,True,True,113,29,17,17,
760500,fifa.world,,Argentina,Cape Verde,True,True,140,34,18,18,
760434,fifa.world,,Ghana,Panama,True,True,99,41,16,16,
760452,fifa.world,,New Zealand,Egypt,True,True,117,44,19,19,
760474,fifa.world,,Senegal,Iraq,True,True,124,44,22,22,
760431,fifa.world,,Austria,Jordan,True,True,101,43,16,16,
760421,fifa.world,,Australia,Türkiye,True,True,114,31,15,15,
760420,fifa.world,,Qatar,Switzerland,True,True,125,39,16,16,
760501,fifa.world,,Colombia,Ghana,True,True,120,47,18,18,
760455,fifa.world,,Jordan,Algeria,True,True,94,27,17,17,
760428,fifa.world,,Spain,Cape Verde,True,True,98,31,14,14,
760470,fifa.world,,Türkiye,United States,True,True,124,40,18,18,
760478,fifa.world,,Cape Verde,Saudi Arabia,True,True,113,38,16,16,
760429,fifa.world,,Saudi Arabia,Uruguay,True,True,117,29,15,15,
760446,fifa.world,,Ecuador,Curaçao,True,True,117,43,18,18,
760498,fifa.world,,Switzerland,Algeria,True,True,103,42,16,16,
760505,fifa.world,,Mexico,England,True,True,118,48,24,24,
760509,fifa.world,,Argentina,Egypt,True,True,116,47,21,21,
760442,fifa.world,,United States,Australia,True,True,123,51,20,20,
760499,fifa.world,,Australia,Egypt,True,True,147,49,21,21,
760466,fifa.world,,South Africa,South Korea,True,True,88,23,15,15,
760439,fifa.world,,Switzerland,Bosnia-Herzegovina,True,True,110,37,21,21,
760508,fifa.world,,Switzerland,Colombia,True,True,179,48,24,24,
760461,fifa.world,,Portugal,Uzbekistan,True,True,119,35,18,18,
760423,fifa.world,,Ivory Coast,Ecuador,True,True,110,34,17,17,
760464,fifa.world,,Morocco,Haiti,True,True,136,45,20,20,
760430,fifa.world,,Iraq,Norway,True,True,110,40,17,17,
760422,fifa.world,,Germany,Curaçao,True,True,121,28,20,20,
760415,fifa.world,,Mexico,South Africa,True,True,102,39,20,20,
760490,fifa.world,,Ivory Coast,Norway,True,True,91,28,16,16,
760472,fifa.world,,Tunisia,Netherlands,True,True,107,26,15,15,
760459,fifa.world,,Colombia,Congo DR,True,True,123,30,16,16,
760507,fifa.world,,United States,Belgium,True,True,104,47,19,19,
760465,fifa.world,,Scotland,Brazil,True,True,120,34,18,18,
