concede_next_window,corners_next_window,fouls_next_window,goals_next_window,match_id,next_state_minute_bucket,next_state_score_diff,next_state_t1,red_cards_next_window,shots_next_window,shots_on_target_next_window,state_t,state_t_away_reds,state_t_home_reds,state_t_minute_bucket,state_t_phase,state_t_score_diff,team_id,team_name,window_end,window_start,yellow_cards_next_window
0,0,2,0,760484,0-15,0,"{""minute_bucket"": ""0-15"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",0,1,0,"{""minute_bucket"": ""0-15"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",0,0,0-15,regular_time,0,624,Algeria,15,0,0
1,0,0,0,760484,16-30,-1,"{""minute_bucket"": ""16-30"", ""score_diff_bucket"": ""-1"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",0,0,0,"{""minute_bucket"": ""0-15"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",0,0,0-15,regular_time,0,624,Algeria,30,15,0
0,0,0,1,760484,46-60,0,"{""minute_bucket"": ""46-60"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",0,4,1,"{""minute_bucket"": ""16-30"", ""score_diff_bucket"": ""-1"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",0,0,16-30,regular_time,-1,624,Algeria,45,30,0
1,0,0,1,760484,46-60,0,"{""minute_bucket"": ""46-60"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",0,3,1,"{""minute_bucket"": ""46-60"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",0,0,46-60,regular_time,0,624,Algeria,60,45,0
0,0,2,0,760484,61-75,0,"{""minute_bucket"": ""61-75"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",0,0,0,"{""minute_bucket"": ""46-60"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",0,0,46-60,regular_time,0,624,Algeria,75,60,0
0,0,2,0,760484,76-90+,0,"{""minute_bucket"": ""76-90+"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",0,0,0,"{""minute_bucket"": ""61-75"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",0,0,61-75,regular_time,0,624,Algeria,90,75,0
0,0,4,0,760484,0-15,0,"{""minute_bucket"": ""0-15"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",0,1,0,"{""minute_bucket"": ""0-15"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",0,0,0-15,regular_time,0,474,Austria,15,0,1
0,0,0,1,760484,16-30,-1,"{""minute_bucket"": ""16-30"", ""score_diff_bucket"": ""-1"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",0,0,0,"{""minute_bucket"": ""0-15"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",0,0,0-15,regular_time,0,474,Austria,30,15,0
1,2,2,0,760484,46-60,0,"{""minute_bucket"": ""46-60"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",0,2,0,"{""minute_bucket"": ""16-30"", ""score_diff_bucket"": ""-1"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",0,0,16-30,regular_time,-1,474,Austria,45,30,0
1,0,4,1,760484,46-60,0,"{""minute_bucket"": ""46-60"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",0,1,0,"{""minute_bucket"": ""46-60"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",0,0,46-60,regular_time,0,474,Austria,60,45,0
