corners_against,corners_for,fouls_against,fouls_for,goals_against,goals_for,match_id,next_state_t1,red_cards,shots_against,shots_for,shots_on_target_against,shots_on_target_for,state_t,team_id,team_name,window_end_minute,window_start_minute,yellow_cards
0,0,4,2,0,0,760484,"{""minute_bucket"": ""0-15"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",0,1,1,0,0,"{""minute_bucket"": ""0-15"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",624,Algeria,15,0,0
0,0,0,0,1,0,760484,"{""minute_bucket"": ""16-30"", ""score_diff_bucket"": ""-1"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",0,0,0,0,0,"{""minute_bucket"": ""0-15"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",624,Algeria,30,15,0
2,0,2,0,0,1,760484,"{""minute_bucket"": ""46-60"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",0,2,4,0,1,"{""minute_bucket"": ""16-30"", ""score_diff_bucket"": ""-1"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",624,Algeria,45,30,0
0,0,4,0,1,1,760484,"{""minute_bucket"": ""46-60"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",0,1,3,0,1,"{""minute_bucket"": ""46-60"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",624,Algeria,60,45,0
1,0,0,2,0,0,760484,"{""minute_bucket"": ""61-75"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",0,2,0,0,0,"{""minute_bucket"": ""46-60"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",624,Algeria,75,60,0
0,0,2,2,0,0,760484,"{""minute_bucket"": ""76-90+"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",0,0,0,0,0,"{""minute_bucket"": ""61-75"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",624,Algeria,90,75,0
0,0,2,4,0,0,760484,"{""minute_bucket"": ""0-15"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",0,1,1,0,0,"{""minute_bucket"": ""0-15"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",474,Austria,15,0,1
0,0,0,0,0,1,760484,"{""minute_bucket"": ""16-30"", ""score_diff_bucket"": ""-1"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",0,0,0,0,0,"{""minute_bucket"": ""0-15"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",474,Austria,30,15,0
0,2,0,2,1,0,760484,"{""minute_bucket"": ""46-60"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",0,4,2,1,0,"{""minute_bucket"": ""16-30"", ""score_diff_bucket"": ""-1"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",474,Austria,45,30,0
0,0,0,4,1,1,760484,"{""minute_bucket"": ""46-60"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",0,3,1,1,0,"{""minute_bucket"": ""46-60"", ""score_diff_bucket"": ""0"", ""home_red_cards"": ""0"", ""away_red_cards"": ""0"", ""phase"": ""regular_time"", ""strength_gap_bucket"": ""unknown"", ""venue_context"": ""neutral""}",474,Austria,60,45,0
