baseline_type,category,p_goal,p_concede,p_corner,p_shot,e_corners,e_shots,sample_size
global,all,0.16666666666666666,0.1813380281690141,0.47769953051643194,0.602112676056338,0.8301997649823737,1.2426556991774382,1702
by_minute,0-15,0.17225950782997762,0.1789709172259508,0.47874720357941836,0.5749440715883669,,,445
by_minute,16-30,0.16,0.176,0.496,0.736,,,248
by_minute,46-60,0.2053388090349076,0.23203285420944558,0.5359342915811088,0.6796714579055442,,,485
by_minute,61-75,0.1781818181818182,0.1709090909090909,0.5454545454545454,0.6327272727272727,,,273
by_minute,76-90+,0.04918032786885246,0.060109289617486336,0.1366120218579235,0.17486338797814208,,,181
by_minute,31-45+,0.19444444444444445,0.2638888888888889,0.625,0.7361111111111112,,,70
by_score,0,0.1592920353982301,0.16940581542351454,0.49557522123893805,0.6257901390644753,,,789
by_score,+1,0.20132013201320131,0.22442244224422442,0.4521452145214521,0.5742574257425742,,,301
by_score,-1,0.1588785046728972,0.17757009345794392,0.46417445482866043,0.6137071651090342,,,319
by_score,+2_or_more,0.2,0.2,0.5135135135135135,0.5621621621621622,,,183
by_score,-2_or_more,0.11607142857142858,0.15178571428571427,0.4017857142857143,0.5357142857142857,,,110
