state_t,next_state_t1,transition_count,sample_size,warning
away_red_cards=0|home_red_cards=0|minute_bucket=0-15|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,28,48,False
away_red_cards=0|home_red_cards=0|minute_bucket=0-15|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,15,48,False
away_red_cards=0|home_red_cards=0|minute_bucket=0-15|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,4,48,False
away_red_cards=0|home_red_cards=0|minute_bucket=0-15|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=1_plus|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,1,48,False
away_red_cards=0|home_red_cards=0|minute_bucket=0-15|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,38,46,False
away_red_cards=0|home_red_cards=0|minute_bucket=0-15|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,2,46,False
away_red_cards=0|home_red_cards=0|minute_bucket=0-15|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,6,46,False
away_red_cards=0|home_red_cards=0|minute_bucket=0-15|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=0-15|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,30,348,False
away_red_cards=0|home_red_cards=0|minute_bucket=0-15|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=0-15|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,28,348,False
away_red_cards=0|home_red_cards=0|minute_bucket=0-15|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=0-15|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,133,348,False
away_red_cards=0|home_red_cards=0|minute_bucket=0-15|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,19,348,False
away_red_cards=0|home_red_cards=0|minute_bucket=0-15|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,2,348,False
away_red_cards=0|home_red_cards=0|minute_bucket=0-15|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,29,348,False
away_red_cards=0|home_red_cards=0|minute_bucket=0-15|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,2,348,False
away_red_cards=0|home_red_cards=0|minute_bucket=0-15|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,103,348,False
away_red_cards=0|home_red_cards=0|minute_bucket=0-15|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=1_plus|home_red_cards=0|minute_bucket=0-15|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,2,348,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,8,47,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,2,47,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,1,47,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,28,47,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,6,47,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,2,47,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,1,20,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,5,20,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,2,20,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,9,20,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=1_plus|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,1,20,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=1_plus|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,2,20,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,16,65,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,2,65,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,1,65,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,34,65,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,2,65,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,10,65,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,1,7,True
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,6,7,True
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,1,106,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,1,106,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=-2_or_more|strength_gap_bucket=unknown|venue_context=neutral,1,106,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,7,106,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,18,106,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,13,106,False
away_red_cards=0|home_red_cards=0|minute_bucket=16-30|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=0|strength_gap_bucket=unknown|venue_context=neutral,65,106,False
away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,14,19,True
away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=+1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,5,19,True
away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=+2_or_more|strength_gap_bucket=unknown|venue_context=neutral,3,3,True
away_red_cards=0|home_red_cards=0|minute_bucket=31-45+|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,away_red_cards=0|home_red_cards=0|minute_bucket=46-60|phase=regular_time|score_diff_bucket=-1|strength_gap_bucket=unknown|venue_context=neutral,14,18,True
